id,region,product,amount
473,West,Gadget,7.03
474,East,Doohickey,6.6
475,East,Doohickey,6.84
476,North,Doohickey,4.83
477,North,Doohickey,7.25
478,West,Gizmo,6.37
479,East,Gizmo,0.69
480,North,Doohickey,0.44
481,East,Widget,5.37
482,West,Widget,6.06
483,North,Gizmo,2.35
484,North,Gadget,6.98
485,South,Widget,2.62
486,East,Doohickey,8.79
487,West,Gadget,6.65
488,North,Doohickey,6.36
489,South,Gadget,9.66
490,West,Gadget,0.75
491,East,Widget,9.69
492,East,Widget,3.46
493,North,Gizmo,1.54
494,North,Gadget,2.48
495,North,Gadget,9.32
496,West,Widget,8.98
497,West,Doohickey,2.14
498,South,Gizmo,5.69
499,South,Widget,2.34
500,West,Widget,7.99
501,East,Gadget,3.42
502,North,Doohickey,6.63
503,West,Gizmo,5.23
504,South,Gizmo,6.48
505,North,Widget,7.31
506,North,Doohickey,9.44
507,South,Doohickey,7.34
508,East,Gizmo,0.53
509,South,Gizmo,0.6
510,South,Gadget,5.55
511,South,Gizmo,8.15
512,South,Widget,5.49
513,East,Gadget,5.71
514,South,Widget,7.48
515,East,Gadget,2.91
516,North,Doohickey,4.73
517,West,Gadget,2.64
518,South,Widget,8.11
519,North,Gadget,2.93
520,North,Doohickey,0.24
521,West,Doohickey,0.07
522,East,Doohickey,8.85
523,South,Widget,9.89
524,East,Gadget,9.91
525,West,Doohickey,5.72
526,East,Gizmo,2.74
527,West,Gizmo,5.69
528,East,Gizmo,8.51
529,South,Doohickey,9.15
530,South,Gadget,0.86
531,South,Gadget,1.86
532,South,Widget,2.34
533,South,Gadget,2.05
534,West,Gizmo,3.18
535,West,Doohickey,5.29
536,South,Widget,9.56
537,South,Gizmo,4.05
538,South,Doohickey,7.08
539,East,Gizmo,9.2
540,West,Doohickey,1.04
541,South,Gadget,4.36
542,West,Doohickey,9.84
543,North,Doohickey,1.09
544,North,Gadget,8.97
545,West,Widget,2.04
546,South,Gizmo,3.33
547,West,Gadget,1.78
548,South,Gizmo,2.88
549,South,Widget,0.35
550,East,Doohickey,1.88
551,North,Widget,1.97
552,South,Doohickey,5.36
553,North,Widget,2.94
554,West,Widget,7.04
555,West,Doohickey,5.62
556,North,Gadget,2.18
557,North,Widget,2.28
558,West,Gadget,4.87
559,East,Gizmo,1.66
560,West,Gadget,4.05
561,North,Gizmo,3.13
562,East,Gadget,4.58
563,West,Doohickey,8.14
564,East,Doohickey,9.71
565,South,Gadget,6.52
566,West,Widget,9.18
567,East,Gadget,5.38
568,South,Gizmo,2.65
569,East,Gizmo,1.93
570,North,Gizmo,1.88
571,West,Gizmo,7.36
572,East,Gadget,6.07
573,East,Gadget,8.17
574,South,Widget,4.02
575,North,Doohickey,2.73
576,North,Gizmo,3.5
577,East,Gadget,5.68
578,North,Widget,3.16
579,East,Widget,9.81
580,South,Doohickey,4.53
581,North,Gadget,5.72
582,West,Gizmo,2.16
583,West,Gizmo,1.9
584,East,Gadget,8.13
585,East,Widget,4.24
586,South,Doohickey,2.86
587,East,Widget,2.25
588,East,Widget,8.21
589,East,Gizmo,0.75
590,North,Widget,0.25
591,West,Doohickey,0.12
592,West,Gadget,8.51
593,East,Doohickey,5.12
594,South,Gadget,5.66
595,North,Gadget,2.16
596,East,Doohickey,6.78
597,North,Gadget,7.64
598,West,Gizmo,9.88
599,East,Gadget,5.51
600,South,Gadget,0.29
601,North,Doohickey,0.1
602,South,Gizmo,9.77
603,North,Gizmo,2.05
604,North,Gadget,7.49
605,South,Doohickey,8.4
606,South,Gadget,4.26
607,East,Gadget,5.06
608,North,Doohickey,2.99
609,East,Widget,9.38
610,North,Gizmo,8.3
611,North,Gadget,2.57
612,North,Widget,5.65
613,South,Gizmo,7.39
614,West,Gadget,5.59
615,East,Widget,4.04
616,East,Widget,1.97
617,East,Doohickey,8.28
618,North,Doohickey,3.82
619,South,Gadget,9.31
620,South,Widget,9.5
621,South,Gizmo,1.27
622,East,Gadget,8.06
623,West,Widget,1.61
624,East,Gizmo,7.47
625,West,Gadget,1.53
626,South,Gadget,1.12
627,North,Doohickey,8.54
628,West,Widget,4.51
629,North,Gizmo,8.83
630,East,Widget,1.55
631,North,Gadget,7.79
632,West,Gizmo,5.45
633,East,Doohickey,0.03
634,North,Widget,3.05
635,North,Widget,6.6
636,South,Gadget,2.14
637,South,Gadget,5.92
638,South,Gizmo,0.97
639,South,Widget,6.62
640,South,Doohickey,5.41
641,South,Widget,5.14
642,West,Widget,4.62
643,East,Widget,8.19
644,East,Gizmo,7.9
645,South,Widget,0.47
646,East,Gadget,6.26
647,East,Gadget,0.75
648,South,Widget,0.07
649,West,Widget,5.6
650,South,Gadget,0.21
651,South,Gadget,8.37
652,West,Gizmo,3.94
653,South,Doohickey,2.42
654,North,Gadget,8.12
655,North,Widget,2.14
656,North,Doohickey,2.02
657,West,Doohickey,1.91
658,East,Widget,8.93
659,South,Gadget,3.37
660,North,Gadget,0.97
661,West,Gadget,3.84
662,West,Doohickey,4.28
663,East,Gizmo,4.26
664,East,Doohickey,2.27
665,West,Doohickey,3.26
666,East,Gizmo,3.19
667,West,Gizmo,5.23
668,South,Doohickey,4.67
669,South,Gadget,3.97
670,North,Gadget,1.56
671,West,Gizmo,0.36
672,West,Gadget,5.64
673,North,Widget,2.02
674,North,Gadget,5.41
675,East,Widget,5.17
676,West,Widget,1.44
677,North,Gadget,4.36
678,South,Gadget,8.48
679,West,Doohickey,3.22
680,West,Gadget,8.21
681,South,Widget,0.75
682,East,Gadget,7.89
683,South,Doohickey,0.78
684,South,Doohickey,8.63
685,South,Gadget,9.02
686,East,Gadget,3.68
687,South,Widget,1.04
688,West,Doohickey,1.54
689,South,Widget,6.78
690,East,Widget,0.86
691,South,Widget,2.01
692,North,Gizmo,4.1
693,West,Widget,4.67
694,East,Gizmo,4.82
695,West,Gadget,4.73
696,South,Doohickey,8.87
697,North,Gizmo,9.29
698,North,Gizmo,3.65
699,East,Widget,0.9
700,South,Gadget,0.32
701,East,Doohickey,5.91
702,East,Widget,3.31
703,South,Gizmo,1.43
704,South,Gizmo,8.27
705,East,Gizmo,3.95
706,West,Widget,4.12
707,North,Gadget,0.17
708,West,Widget,7.74
709,South,Doohickey,0.55
710,West,Gadget,9.62
711,West,Gadget,9.31
712,West,Widget,7.6
713,South,Doohickey,0.09
714,North,Gizmo,1.13
715,West,Widget,5.54
716,East,Widget,2.67
717,South,Gizmo,9.94
718,South,Gadget,4.23
719,South,Doohickey,8.71
720,West,Gadget,6.51
721,East,Doohickey,5.44
722,South,Doohickey,5.28
723,West,Widget,6.88
724,South,Doohickey,4.59
725,South,Gizmo,9.28
726,South,Doohickey,9.34
727,South,Doohickey,4.55
728,South,Widget,0.23
729,East,Widget,3.33
730,East,Gizmo,2.72
731,West,Doohickey,3.08
732,West,Widget,7.76
733,East,Doohickey,3.06
734,East,Gizmo,6.16
735,North,Gizmo,4.95
736,East,Gadget,0.39
737,East,Widget,7.56
738,West,Gadget,7.24
739,East,Gizmo,5.84
740,East,Doohickey,2.36
741,East,Gizmo,0.47
742,East,Widget,2.88
743,West,Gizmo,1.31
744,South,Gadget,7.66
745,East,Gadget,9.65
746,North,Doohickey,5.42
747,West,Doohickey,7.09
748,North,Gadget,0.0
749,East,Gizmo,5.91
750,East,Widget,8.34
751,North,Gizmo,4.5
752,North,Gizmo,1.35
753,North,Gadget,3.77
754,South,Gadget,9.97
755,North,Gizmo,5.31
756,South,Widget,8.63
757,South,Gadget,9.47
758,South,Gadget,6.31
759,East,Widget,2.43
760,East,Gizmo,0.93
761,East,Doohickey,4.14
762,South,Widget,6.28
763,West,Gadget,5.63
764,West,Gadget,1.89
765,South,Gadget,2.51
766,West,Widget,5.5
767,West,Gizmo,3.92
768,East,Widget,4.45
769,North,Doohickey,9.95
770,North,Doohickey,7.07
771,South,Widget,8.64
772,North,Gadget,7.84
773,West,Gadget,3.24
774,North,Doohickey,0.18
775,South,Widget,3.83
776,East,Doohickey,8.85
777,North,Doohickey,2.88
778,North,Widget,0.26
779,North,Doohickey,3.1
780,East,Gadget,2.18
781,East,Gadget,7.35
782,North,Doohickey,6.45
783,North,Doohickey,4.46
784,West,Gadget,7.23
785,East,Doohickey,2.09
786,West,Widget,4.96
787,North,Doohickey,7.34
788,South,Gizmo,0.77
789,South,Gadget,8.68
790,West,Gizmo,9.26
791,South,Gadget,8.28
792,North,Gadget,8.01
793,West,Gizmo,1.85
794,South,Gadget,0.65
795,South,Gizmo,4.52
796,West,Gadget,6.64
797,West,Widget,4.97
798,East,Gizmo,5.02
799,West,Gadget,6.94
800,West,Widget,1.03
801,North,Gizmo,6.58
802,West,Widget,4.52
803,South,Widget,6.63
804,East,Gizmo,6.45
805,North,Widget,3.54
806,South,Widget,4.88
807,West,Widget,1.53
808,South,Gadget,5.47
809,West,Gizmo,8.51
810,South,Gizmo,1.98
811,North,Widget,2.33
812,West,Gadget,1.23
813,West,Gadget,2.15
814,West,Doohickey,3.68
815,West,Gizmo,9.2
816,East,Gadget,4.84
817,South,Gizmo,2.91
818,South,Widget,5.28
819,North,Gizmo,3.51
820,South,Gadget,6.69
821,South,Widget,9.77
822,East,Doohickey,9.62
823,South,Gizmo,1.0
824,West,Doohickey,3.76
825,North,Widget,5.74
826,South,Widget,5.39
827,South,Widget,5.71
828,North,Gizmo,7.82
829,East,Gizmo,2.49
830,South,Doohickey,9.49
831,North,Gizmo,6.06
832,East,Gadget,1.66
833,South,Doohickey,8.97
834,South,Widget,1.99
835,North,Gizmo,7.3
836,East,Doohickey,3.0
837,South,Doohickey,9.4
838,South,Doohickey,4.66
839,East,Doohickey,6.99
840,North,Gizmo,8.5
841,East,Widget,8.36
842,East,Gizmo,6.58
843,West,Gizmo,2.4
844,South,Widget,2.43
845,South,Widget,3.53
846,North,Doohickey,2.67
847,South,Gadget,1.68
848,East,Widget,7.28
849,West,Widget,8.77
850,East,Gadget,3.84
851,South,Widget,2.7
852,North,Doohickey,6.06
853,East,Gizmo,2.88
854,South,Gizmo,9.52
855,North,Doohickey,6.3
856,East,Widget,8.51
857,East,Gizmo,2.09
858,East,Gadget,6.13
859,North,Widget,2.97
860,South,Doohickey,5.9
861,West,Gadget,6.38
862,West,Gizmo,7.6
863,West,Gadget,4.59
864,West,Doohickey,1.66
865,West,Gadget,2.64
866,West,Widget,6.1
867,East,Widget,5.37
868,West,Gizmo,7.7
869,South,Gizmo,10.0
870,East,Gadget,4.32
871,South,Gizmo,8.49
872,West,Gadget,8.38
873,West,Gadget,5.1
874,East,Doohickey,2.5
875,South,Gadget,7.64
876,North,Gadget,7.13
877,West,Gadget,7.82
878,East,Gadget,6.35
879,South,Doohickey,5.03
880,West,Gizmo,2.77
881,North,Gadget,0.05
882,North,Doohickey,4.22
883,West,Gizmo,9.95
884,North,Gizmo,5.32
885,South,Gadget,3.2
886,North,Gizmo,4.6
887,North,Doohickey,4.5
888,East,Widget,3.52
889,East,Widget,1.96
890,West,Gadget,7.35
891,South,Gadget,5.62
892,North,Widget,8.81
893,West,Widget,4.94
894,South,Gizmo,4.74
895,North,Gizmo,4.93
896,North,Widget,2.92
897,East,Gizmo,4.81
898,West,Doohickey,0.55
899,East,Gizmo,0.63
900,South,Gadget,8.92
901,North,Gadget,3.5
902,East,Gizmo,8.55
903,West,Gizmo,7.86
904,West,Doohickey,7.83
905,West,Widget,0.15
906,East,Doohickey,3.48
907,North,Widget,6.86
908,North,Widget,5.58
909,South,Widget,2.26
910,West,Gadget,0.8
911,North,Gizmo,0.35
912,South,Doohickey,7.57
913,West,Gizmo,2.81
914,North,Gadget,3.46
915,South,Widget,4.22
916,North,Gadget,0.5
917,South,Gadget,8.81
918,West,Gizmo,6.83
919,South,Gizmo,8.36
920,South,Widget,3.7
921,North,Gadget,9.04
922,West,Doohickey,5.22
923,North,Doohickey,6.42
924,West,Widget,4.8
925,East,Gizmo,1.32
926,West,Doohickey,5.85
927,North,Widget,6.36
928,South,Widget,6.72
929,South,Doohickey,2.28
930,South,Widget,8.95
931,West,Doohickey,5.7
932,West,Widget,6.05
933,South,Widget,4.86
934,North,Gizmo,4.81
935,South,Gizmo,8.24
936,East,Gizmo,4.68
937,South,Gadget,1.41
938,North,Gizmo,1.33
939,West,Gadget,1.21
940,West,Doohickey,9.71
941,South,Widget,2.84
942,East,Gizmo,8.01
943,East,Gizmo,4.53
944,West,Doohickey,8.71
945,South,Doohickey,6.54
946,West,Gadget,4.88
947,West,Widget,6.26
948,South,Gizmo,0.02
949,West,Gadget,8.49
950,East,Widget,7.35
951,South,Doohickey,0.87
952,North,Doohickey,0.49
953,South,Doohickey,7.42
954,South,Widget,0.4
955,West,Gadget,9.34
956,North,Gizmo,5.21
957,West,Gizmo,1.31
958,North,Gadget,8.22
959,North,Gizmo,2.83
960,East,Widget,6.56
961,South,Gadget,9.23
962,South,Gizmo,7.57
963,North,Doohickey,3.9
964,East,Gizmo,2.27
965,South,Widget,3.62
966,East,Widget,6.09
967,North,Widget,1.94
968,South,Gadget,4.66
969,South,Doohickey,1.11
970,North,Gizmo,8.76
971,West,Doohickey,1.94
972,North,Gadget,5.99
973,South,Widget,2.12
974,South,Widget,8.75
975,North,Gizmo,8.08
976,North,Widget,6.84
977,West,Gizmo,2.05
978,South,Doohickey,0.94
979,North,Widget,6.41
980,West,Widget,7.53
981,West,Gizmo,9.52
982,North,Widget,9.21
983,North,Widget,3.11
984,West,Gizmo,4.62
985,South,Gadget,9.42
986,North,Gizmo,0.85
987,South,Gizmo,7.4
988,East,Gizmo,7.31
989,North,Gadget,1.17
990,West,Widget,4.26
991,West,Doohickey,0.84
992,West,Doohickey,0.96
993,East,Widget,5.02
994,East,Gizmo,8.21
995,East,Gizmo,7.02
996,South,Doohickey,7.39
997,West,Gizmo,1.75
998,North,Doohickey,3.73
999,West,Widget,8.23
1000,West,Gadget,4.24
1001,East,Widget,3.64
1002,North,Gizmo,2.18
1003,North,Doohickey,8.25
1004,West,Gadget,8.19
1005,West,Doohickey,7.01
1006,East,Gadget,5.32
1007,North,Widget,2.91
1008,South,Doohickey,9.05
1009,East,Gizmo,9.21
1010,South,Gadget,5.98
1011,West,Doohickey,2.39
1012,North,Gadget,4.71
1013,North,Gadget,5.5
1014,West,Widget,0.25
1015,North,Widget,2.0
1016,West,Gadget,8.98
1017,East,Gadget,3.44
1018,West,Gizmo,4.66
1019,South,Widget,0.43
1020,South,Widget,7.1
1021,North,Gizmo,5.42
1022,West,Gadget,4.4
1023,North,Gadget,7.19
1024,West,Doohickey,6.27
1025,South,Gizmo,2.0
1026,East,Gizmo,0.97
1027,West,Doohickey,3.18
1028,North,Gadget,0.65
1029,South,Doohickey,1.44
1030,East,Doohickey,0.26
1031,South,Widget,1.15
1032,South,Widget,3.42
1033,South,Gadget,3.33
1034,South,Doohickey,4.55
1035,West,Widget,5.11
1036,North,Doohickey,0.23
1037,East,Gizmo,6.59
1038,South,Widget,4.43
1039,East,Gadget,0.17
1040,North,Widget,1.66
1041,East,Doohickey,4.81
1042,West,Gizmo,9.09
1043,South,Doohickey,7.12
1044,South,Widget,4.08
1045,West,Gadget,4.15
1046,South,Widget,5.89
1047,West,Gizmo,8.15
1048,North,Gadget,1.38
1049,East,Gizmo,1.69
1050,North,Gizmo,2.83
1051,East,Gizmo,2.97
