title,artist,year,genre,description
Savage Love,Jason Derulo,2020,Pop,A TikTok-viral song with Jawsh 685 about the painful experience of falling for someone who treats you carelessly with a savage kind of love
Mood,24kGoldn,2020,Hip-Hop,A melodic hip-hop pop song featuring iann dior about an unpredictable partner whose constant mood swings make a relationship exhausting and confusing
Levitating,Dua Lipa,2020,Pop,A disco-influenced song about a love so good it feels like floating through the galaxy with a partner who makes you levitate
Adore You,Harry Styles,2020,Pop,A bright funk-pop song about devoted adoration the helpless feeling of being completely smitten and showing your love without holding back
Drivers License,Olivia Rodrigo,2021,Pop,A heartbreaking ballad about getting your license and driving past your exs house feeling crushed that they moved on with someone older
Stay,The Kid LAROI,2021,Pop,An emotional song with Justin Bieber about pleading with a partner to stay despite knowing youre bad for them and the desperate fear of losing them
Good 4 U,Olivia Rodrigo,2021,Pop,A pop-punk anthem about an ex who seems to be doing great after the breakup while youre still wrecked sarcastically wishing them well
Industry Baby,Lil Nas X,2021,Hip-Hop,A triumphant brass-heavy song with Jack Harlow about defying critics dominating the industry and refusing to be silenced or held back
Heat Waves,Glass Animals,2021,Indie,A dreamy indie pop song about heartbreak distorted memory and the disorienting feeling of losing someone in the fog of summer heat waves
Montero,Lil Nas X,2021,Hip-Hop,A provocative song about embracing his identity defying religious shame and celebrating queer love with bold confrontational energy
Save Your Tears,The Weeknd,2021,Pop,A synth-pop song about running into an ex on the dance floor pretending not to recognize her and the lingering regret of how things ended
Bad Habits,Ed Sheeran,2021,Pop,A synth-pop song about falling back into destructive patterns staying out late chasing temptations and the inevitable consequences of bad habits
About Damn Time,Lizzo,2022,Pop,An upbeat funk-pop song about finally feeling good after a rough patch needing a vibe shift and celebrating the moment things start turning around
As It Was,Harry Styles,2022,Pop,A melancholic synth-pop song about change loneliness and the bittersweet realization that life will never be the same as it was
Anti-Hero,Taylor Swift,2022,Pop,An introspective song about self-loathing battling your own worst impulses and acknowledging that sometimes you are the problem in your own life
Unholy,Sam Smith,2022,Pop,A dark dance-pop song with Kim Petras about a man cheating on his wife at a strip club confronting the unholy nature of his secret double life
Bad Habit,Steve Lacy,2022,R&B,A smooth funky song about regret over not pursuing a crush wishing you had said something and the bad habit of holding back
Running Up That Hill,Kate Bush,2022,Pop,A haunting synth-pop song that experienced a viral resurgence about wanting to swap places with your lover to truly understand each other
First Class,Jack Harlow,2022,Hip-Hop,A smooth song about luxury success traveling first class and inviting a love interest to join him in his elevated lifestyle
Cuff It,Beyonce,2022,R&B,A disco-funk song about getting wild and free with a partner falling in love and indulging in pleasure with no regrets
Flowers,Miley Cyrus,2023,Pop,A self-empowerment anthem about leaving a relationship and realizing she can buy herself flowers love herself better than he ever could
Kill Bill,SZA,2023,R&B,A dreamy song about an obsessive jealous fantasy of killing an ex and his new girlfriend rooted in the rage and pain of being replaced
Last Night,Morgan Wallen,2023,Country,A country song about a fiery on-again off-again relationship promising it would be the last night together while knowing it probably wont be
Calm Down,Rema,2023,Pop,An Afrobeats song with Selena Gomez about meeting a beautiful girl at a party telling her to calm down and asking if she can be his baby
Cruel Summer,Taylor Swift,2023,Pop,A synth-pop song about a passionate secret summer romance the cruel intensity of forbidden feelings and the highs and lows of summertime love
Vampire,Olivia Rodrigo,2023,Pop,A piano-driven ballad about being emotionally drained by an older manipulative ex who fed off her like a vampire taking everything she had to give
Paint the Town Red,Doja Cat,2023,Hip-Hop,A song about not caring what anyone thinks rejecting fames expectations and painting the town red with rebellious confidence
Snooze,SZA,2023,R&B,A smooth song about devotion to a partner the desire to never sleep on what you have and the comfort of waking up to someone you love
Greedy,Tate McRae,2023,Pop,A flirty song about confidence in dating self-assurance about what shes worth and rejecting men who try to be greedy with her time
Lovin On Me,Jack Harlow,2024,Hip-Hop,A smooth song about the kind of woman he likes loving on him with a sample-driven groove and confident swagger
Texas Hold Em,Beyonce,2024,Country,A country song about hometown pride dancing at a honky-tonk and inviting a partner to take a chance on a Texas-style romance
Espresso,Sabrina Carpenter,2024,Pop,A flirty bouncy song about being someones caffeinated obsession knowing youre that good and keeping a man up all night thinking about you
Birds of a Feather,Billie Eilish,2024,Pop,A tender song about devoted love the wish to stay together until the day you die and being birds of a feather with your soulmate
A Bar Song Tipsy,Shaboozey,2024,Country,A country crossover hit about needing a drink after a hard week getting tipsy at the bar and forgetting your troubles for a night
Please Please Please,Sabrina Carpenter,2024,Pop,A pleading song about asking a partner who has a bad reputation to please not embarrass her in front of her friends
Not Like Us,Kendrick Lamar,2024,Hip-Hop,A confrontational diss track from his feud with Drake calling out rivals as outsiders who are not like us with West Coast pride
I Had Some Help,Post Malone,2024,Country,A country crossover song with Morgan Wallen about acknowledging that the breakdown of a relationship took two people and you both had some help
Good Luck Babe,Chappell Roan,2024,Pop,An emotional synth-pop song about a woman in denial about her queer feelings sarcastically wishing her good luck pretending to love a man instead
Pink Pony Club,Chappell Roan,2024,Pop,A glittery song about leaving a small town for Hollywood finding queer joy and dancing at the Pink Pony Club despite her mothers disapproval
Million Dollar Baby,Tommy Richman,2024,R&B,A falsetto-driven song about chasing wealth dreaming big and hustling toward a million dollar life with confidence
Houdini,Eminem,2024,Hip-Hop,A comeback song with a nostalgic feel about disappearing from the spotlight returning with classic Slim Shady energy and pulling a magic trick on the rap game
Stick Season,Noah Kahan,2023,Indie,A folksy indie song about returning to a small New England town in the bleak in-between season after a breakup and feeling stuck in melancholy
Cardigan,Taylor Swift,2020,Indie,A wistful indie folk song about teenage memory young love and feeling like a discarded cardigan that someone took home and made special again
